464364;plazom;Prague;0;0
464370;aftermath-vc;New York City;0;1
464375;mgaunard;London;6;22
464707;newmanatee;Charleston; WV;0;0
464709;unacowa;japan;0;9
464711;jtobias;Sunnyvale; CA;0;0
464714;domid;Siepraw 171; 32-447 Siepraw;1;0
464725;troyh;Seattle; WA;0;23
464727;maciejgryka;Potsdam; Germany;7;22
464728;hansonsolutions;Sewell; NJ; USA;0;0
464731;sugarinternal;Cupertino CA;0;0
464732;jwegner;Germany;1;17
464734;wmcbee;USA;3;1
464735;mutualmind;Dallas; TX;0;1
464739;stebee;Redmond; WA;0;5
464742;pfm;Buenos Aries; Argentina;0;1
464744;LOLsim;Kuala Lumpur; Malaysia;1;0
464745;gbodet;Paris;3;5
464746;yeeland;Austin; TX;6;5
464758;diegocmsantos;Fortaleza; Ce - Brasil;3;35
464760;smbriones;Chicago; IL;27;3
464761;andredublin;Charleston; SC;45;29
464763;bstpierr;Waterloo; ON;34;0
464765;Unfettered;Hammond Louisiana;3;2
464766;PASSELAIGUE;Paris (France);0;0
464768;bonbishu;Canada;1;0
464770;vis81;Lund; Sweden;0;3
464771;AomiArmster;Los Angeles;0;0
464774;chambo;Austin; TX;1;0
464777;marcodeseri;bologna;0;7
464781;philrandal;Worcester; UK;1;7
464789;jbhg;Boston; MA;6;23
464795;waldobronchart;US;26;9
464798;jfalcone;Half Moon Bay; California;0;1
464799;wonja;San Francisco; CA;9;14
464805;VickanBlom;Malm; Sweden;2;1
464807;sivasivakolunthu;Montreal; QC;0;0
464815;FirestormX;Toronto; Ontario;0;1
464819;cotocisternas;Santiago/Chile;7;26
464822;giladgray;London; UK;19;53
464825;eluiandil;Russia;0;1
464835;lightos;Canada;49;7
464837;p3rl;Stockholm;4;5
464838;mwhuffman;Orlando; FL;0;0
464848;cschramm;Munich; Germany;12;38
464857;jeffomatic;Berkeley; CA;15;28
464858;Vitsaus;Finland; Jrvenp;5;5
464859;enixu;United Kingdom;0;2
464864;tanem;Wellington; New Zealand;20;69
464883;shade304;Beckley; WV;0;0
464887;iDanScott;United Kingdon;9;11
464888;raphaelabrams;Booklyn; NY; USA;9;9
464890;JacksonAlexandr;Chattanooga; TN;0;1
464891;korbatz;Berlin/Germany;0;1
464892;NickMilner;United Kingdom;0;0
464895;ckniffen;Kansas City;21;17
464898;pitman;Berkeley; CA; USA;1;0
464900;simonprev;Quebec; QC Canada;27;38
464901;ekeever1;Eugene; OR;2;1
464903;aseovic;Tampa; FL;12;7
464905;jmdemoor;Aiea; HI;1;1
464906;AnotherYeti;Boulder; CO;0;4
464922;Umecan;Montevideo; Uruguay;0;2
464924;frkssk;Istanbul;0;1
464926;pabo;United States;1;12
464928;dougjohnson;Newcastle; UK;11;25
464929;sgconsulting;Siena; Italy;0;6
464933;yazgazan;France;4;40
464941;llonergan;San Carlos; CA;1;0
464942;dave1;Ann Arbor; MI;0;1
464946;superic;San Francisco;6;10
464951;danieljpost;Bloomington; MN;3;3
464954;moci;Belgium;0;4
464958;mirmousaviii;Tehran; Iran;39;26
464971;ParkerK;Seattle; WA;12;8
464974;vikingkarwur;Indonesia;9;38
464978;alejandronanez;Colombia;31;37
464989;lastorset;Oslo; Norway;12;32
464994;SimBeSim;Eindhoven Netherlands;0;2
464998;frosch95;Neckarwestheim; Germany;5;3
465004;amejorado;Ave Eugeion Garza Sada Sur 2501 Mty NL Mexico;6;12
465005;gnaces;Santiago; Chile;9;26
465007;robmadden;Seattle; WA;16;9
465008;daslicht;Germany; Cuxhaven;6;135
465014;aaroncole;San Francisco; CA USA;1;17
465015;moon6pence;Daejeon; Korea;1;24
465020;heathmedia;San Francisco; CA USA;1;5
465021;bochkarev;Moscow; Russia;5;3
465024;rezen;California;14;8
465028;dbuthay;San Francisco; CA;24;13
465031;Nightwolf42;Germany;7;6
465034;zeroknowledge;UK;0;0
465040;sivakatir;Washington; USA;4;7
465044;senthilrajatk;Seoul; South Korea;0;1
465045;ryan-williams;New York;27;53
465046;ssozuer;Istanbul/TURKEY;3;5
465049;plougy;Paris; France;38;5
465051;mauriciomdea;Rio de Janeiro; Brasil;10;13
465053;nextgreatplace;Denver; CO;0;4
465054;piratejon;Oklahoma City;9;47
465056;silasmontgomery;Chardon; OH;5;4
465064;MylesJohnson;New Hampshire; USA;0;1
465065;adampehapovsky;poland;0;0
465069;dstorey;Seattle; Washington;75;25
465073;w3wfr;Provins; France;0;38
465079;wasupwithuman;AZ;0;5
465080;samwood;Santa Cruz; Cali;1;0
465083;scaramelli;Brazil;0;0
465085;isleven;Wuhan; Hubei; P.R.China;3;6
465087;nebutch;Earth;0;0
465090;tevnin;NYC;2;8
465091;gabraham;Melbourne; Australia;7;6
465094;swiftyone;Aachen;5;3
465095;gracianani;Chicago; IL;3;23
465097;matthaltom;Boulder; CO;4;3
465103;dailybruin;Los Angeles; CA;0;1
465108;atomoc;;1;23
465112;WolfPackWB;Greenville; SC;0;0
465125;yesmeck;Hangzhou China;76;138
465127;racepace;hangzhou; zhejiang;1;0
465128;VaultHeadGames;Western New York;0;10
465132;kjdev;Asia/Tokyo;30;49
465133;overminder;Hang Hau; Hong Kong;36;47
465136;xpeng;China;0;81
465139;wankyu;Seoul Korea;1;6
465143;cloggy45;Liverpool;0;10
465152;friendika;Australia;25;0
465163;jeffgolden;Raymore; MO; USA;0;0
465165;obimod;Bay Area;14;75
465173;Liag;Uppsala;1;9
465180;Fewes;Sweden;1;1
465181;wzhao;beijing;0;18
465189;casa87;San Francisco;4;13
465214;AssyriaGameStudio;Middlesbrough;0;1
465225;B1ackZer0;New Delhi;0;1
465227;XTremeCoder;THAILAND;1;0
465228;lixiphp;Chengdu; China;8;23
465238;ocorpening;austin;0;12
465246;elong0527;New York City;16;8
465250;olivier-w;Toronto;4;6
465252;keshwans;New York; USA;15;148
465258;CampfireCoder;Wichita; Kansas;1;0
465261;banar;New Jersey;1;1
465263;stevearm;Bay Area; California;1;20
465267;aobo711;HangZhou China;12;18
465279;kraj;San Jose;CA USA;28;71
465280;Nex9;NewYork;0;27
465287;shen747;Colombo;Sri Lanka;0;1
465289;tedlee;San Francisco; Californa;32;30
465298;young1023;;0;6
465299;ANUSF;The Australian National University; Canberra ACT 0200; Australia;0;10
465302;bcapozzi;St. Louis; MO;0;17
465303;delan;Perth; Australia;40;52
465309;kyupark;Seoul; Korea;8;32
465310;mariusc23;Boulder; CO;8;29
465316;sirish;San Francisco; CA;0;2
465320;kimtoma;Seoul;0;3
465321;charleyt;Manhattan Beach; CA;1;2
465323;evitolins;Los Angeles; CA;17;25
465334;greenlion;Silicon Valley;46;28
465336;nimzi;San Diego; CA;4;11
465337;nathan-w;Canberra; Australia;0;5
465340;BlueDragonX;San Francisco; CA;18;59
465341;adeelyounas;United Arab Emirates;3;11
465345;jeffreydan;;0;0
465351;feicanfly;beijing;1;10
465358;xta;California & New York;46;69
465359;pschmidt88;Kassel;17;12
465363;harsh-aghicha;Goa;0;0
465364;EsotericAlgorithm;Vancouver; WA;0;8
465366;zhaofuyin;China;0;0
465370;samitbasak;Kolkata; India;0;0
465375;abnercyh;Taiwan;1;6
465377;mavenn;Portland; OR;0;2
465380;tziembo;Columbus; OH;0;1
465382;meghaklp;Bangalore;2;7
465387;kruben;Quito;0;0
465389;avandecreme;Gaithersburg; Maryland;8;14
465393;jkjuopperi;Oulu; Finland;10;27
465394;toufiq;Dhaka; Bangladesh;0;1
465399;golovasteek;Moscow; Russia;4;12
465400;cedricbonhomme;North Carolina;15;18
465414;patrickkettner;seattle;139;114
465422;grigoryk;Vancouver; BC;13;22
465424;carlwoodhouse;Sheffield;6;17
465428;belorios;Sweden;0;3
465434;smronju;Dhaka; Bangladesh;19;19
465443;r0xnet;Zaragoza;0;0
465444;baires;Buenos Aires;27;13
465447;djanssen;Nmes - FRANCE;1;9
465457;vasilenko;Moscow; Russia;2;6
465458;Jiigi;Seoul; Republic of Korea;0;1
465465;fseifert;Germany;1;2
465469;mstein;France;12;3
465470;edwardjohnson;Grants Pass; OR;0;2
465479;tobyyun;Seoul; Korea;6;3
465481;bbucko;Krakow; PL;1;36
465484;kitndirangu;Niairobi Kenya;1;1
465489;boykov;Khabarovsk; Russia;2;20
465503;obitoby;Sydney; Australia;0;1
465505;JurajKubelka;Santiago de Chile;1;10
465506;heliopsis;Lyon; France;0;54
465509;DaimonX;khm;1;5
465511;xulongnr;Nanjing;3;4
465513;alebaffa;Golfe Juan; France;12;42
465526;gozzy;Moscow; Russia;1;4
465527;majutsushi;New Zealand;56;17
465530;rollinginsanity;AU;4;12
465539;alibotean;Romania;6;1
465544;borriglione;Leipzig;16;42
465545;GuidoBesseghini;Milano;0;0
465548;xcompass;Vancouver; BC;11;55
465549;transfer8;Kristiansand;0;0
465550;ewels;Stockholm; Sweden;43;40
465551;asengupta;Bangalore;22;28
465552;Jmz;Newcastle Upon Tyne;2;12
465557;minimalart;Argentina;2;6
465558;sprhawk;Beijing;131;104
465562;r0ro;Paris;2;17
465565;alekseypindrus;Russia; Rostov-on-Don;5;0
465566;Kalli;London;14;9
465569;willtj;United Kingdom;1;5
465579;theforcedk;Denmark;0;4
465583;oliverhenlich;Auckland;0;4
465586;gjermundrg;Oslo; Norway;7;0
465588;fobtastic;Taipei; Taiwan;0;0
465590;carlosfilho88;Teresina; Piau - Brasil;7;7
465591;adairj;UK;3;1
465594;Topdam;France;0;0
465599;jkais;Hamburg;1;1
465602;jlming6;Beijing; China;1;17
465619;anadollu;Antalya; Turkey;4;2
465620;pekkis;Finland;26;44
465623;reincubate;London; UK;0;14
465629;toge;Yokohama; Japan;1;1
465632;increpare;London; UK;104;39
465634;rguimaraens;Salvador; Brazil;12;6
465640;selkovjr;Walnut Creek; California;0;8
465644;cyanid;Helsinki;4;3
465648;pedronunesc;Vila Nova de Gaia; Portugal;0;0
465649;bovan;Trondheim; Norway;3;13
465650;FrantzdyRomain;new Jersey;9;13
465652;spopovitz;Estonia;0;1
465659;allanp8;London;0;3
465663;Sthlm;Stockholm; Sweden;0;0
465668;ttornabene;PALERMO; ITALY;0;0
465671;nimmen;Vilnius;10;84
465677;Bigpet;Koblenz; Germany;14;18
465678;Letty;Berlin;44;5
465693;guanbeilang;China JiLin Changchun;0;7
465694;lelivero;Amsterdam;0;5
465696;carstenkiefer;Germany;1;3
465697;touyou;Japan;21;40
465698;benru;United Kingdom;1;3
465702;Naiku;Minneapolis; MN;0;4
465709;vivektikoo;India;0;9
465714;ThorstenHi;Berlin;4;8
465717;pauloconnor;Dublin; Ireland;21;69
465723;Miguel-Herrero;Madrid; Espaa;2;27
465725;Tala;Germany;5;8
465730;mo6;The Netherlands;0;2
465734;ndelaforge;Sophia Antipolis;4;3
465738;leandrod;Bralia; DF; BR;0;1
465739;DodgeHolls;Ireland;0;0
465741;br0k3;Chicago; USA;3;15
465742;eason929;Hong Kong;0;0
465743;krishnaprasad;Hyderabad; India;0;0
465745;sivashanmukh;Hyderabad; India;0;7
465746;RAR;Durham; NC;0;3
465752;sbagdat;Eskisehir; Turkey;106;11
465757;bchoquet-heliopsis;France;6;2
465758;emanuelsaringan;Zurich; Switzerland;8;16
465769;eddiej;Ireland;2;24
465771;ketchupgroup;London; UK;0;2
465777;blid;Krakw;5;11
465782;misman;Ankara; Turkey;1;0
465790;oomathias;Berlin / Toulouse / Remote;17;16
465797;PKJedi;Finland;7;15
465798;csarrazi;Paris area;57;28
465801;phyesix;Ankara;3;26
465802;sebskuse;Reading; UK;3;10
465806;gusega;Russia; Moscow;0;7
465807;parafont;Sweden;0;0
465808;guilhermesgb;Campina Grande;40;29
465814;mmaury-heliopsis;Lyon;0;7
465816;glangsto;Arbovale; WV;0;1
465817;ftorghele;Austria;19;21
465818;Jubjub;Spain;4;21
465824;nicolaevladescu;Bucharest;4;4
465825;simplybusiness;London (UK);0;74
465826;Caleb-C;Denver; North Carolina (USA);0;1
465827;jsawitsky;Milford; CT;0;0
465828;martyMM;Chicago;3;56
465836;Tetractys;Turin; Italy;0;0
465838;davidlesieur;Montral; Canada;6;10
465842;harrykar;"World Wide man ;) ";0;3
465846;npme;aira city ;  kagoshima ; JAPAN;0;0
465849;underscoretang;Oakland; CA;2;8
465860;MCeley;Winter Park; FL;1;1
465872;takinson;Toronto; Canada;0;0
465875;AlienAsRoger;Russia; Tomsk;0;71
465876;CreativeGS;Riga; Latvia;0;52
465878;SVydelingum;London; UK;0;0
465881;tiagofontella;Brazil;5;5
465883;esdutton;NYC;0;0
465885;noptic;Germany;1;17
465887;giannileggio;Dublin;1;9
465891;shangle;Sparta; MI;3;4
465893;yuriyk;Kyiv; Ukraine;2;0
465894;Suven;Essen; Germany;5;23
465906;alicemirror;Santa Eulalia del Rio - Balearic Islands - Spain;1;11
465912;patbolger;Dublin;0;0
465915;lppjunior;Rio de Janeiro;3;0
465923;Daniel-Mietchen;Jena;52;74
465932;gavinsmith;Toronto; Canada;16;6
465937;asimonet;France;2;16
465943;alesma;Malta;3;5
465946;litch;Miami; FL;7;65
465947;BouncingPixel;Houston; TX;0;16
465952;nshenry03;Westminster; CO 80021;4;18
465963;protron;Buenos Aires; Argentina;4;11
465965;Prodito;Argentina;1;5
465969;benashford;London; UK;18;32
465974;enemyradar;London;0;0
465976;marcelinho;Porta Alegre/ RS / Brasil;0;1
465977;urbanblight;Davis; CA;0;1
465989;devotis;Rotterdam; The Netherlands;5;19
465990;morenobryan;Curitiba; Brazil;0;2
465992;moroshigeki;Kyoto;0;1
465993;jesseward;.ca || .us;7;34
465994;ewichmann;Berlin;0;1
465996;hkjorgensen;San Francisco;21;14
466004;scognito;Italy;0;5
466006;mattmesker;Chicago; IL;11;0
466012;mauriziopinto;Dusseldorf;0;8
466014;adinn;Newcastle Upon Tyne; United Kingdom;18;13
466015;volpeo;Bordeaux / France;32;53
466023;jeff-hobbs;Vancouver; BC;7;0
466028;mclavelguzman;El Salvador;0;7
466033;willchan;San Francisco;10;5
466034;robbirob;Stralsund; Germany;0;7
466038;burakson;Berlin;19;7
466051;ProxomoAdmin;Dallas; TX;0;0
466054;jabit;Crdoba;2;3
466057;sugaishinobu;Yokohama; JAPAN;0;1
466072;tettarian;tokyo;2;4
466078;Argomirr;Netherlands;0;4
466081;notcoffeetable;Fort Collins; CO;2;25
466082;joshparolin;San Diego; CA;10;10
466083;rcarrieche;Porto Alegre; Brazil;11;2
466084;hozmur;Istanbul/Turkey;1;14
466088;iammikewilson;Amherst; MA;0;1
466092;jgrar;Sunshine Coast QLD Australia;9;16
466096;kenneyw;Austin; TX;3;9
466098;fnunez;Santiago; Chile;0;0
466102;rizal72;Italia;3;9
466103;CodeZombie;Canada;9;13
466104;jmoody;Germany;85;75
466105;sandinosaso;Montevideo; Uruguay;10;23
466112;galic1987;London;2;12
466113;martinlangeder;vienna;0;0
466115;ezimir;Budapest; Hungary;4;13
466122;Tekki;Glarus; Switzerland;4;15
466127;zehnergroup;Los Angeles; CA;0;15
466133;snip;Paris / Alps;4;8
466140;scarouso;Cambridge; MA;0;0
466146;flpgdt;Madrid;0;5
466148;flapan;Barcelona;0;0
466150;PadraigK;Vancouver; BC;20;14
466152;oocube;France;0;0
466155;jgbirk;New York;0;0
466158;brentc;Toronto; ON;5;14
466165;kcburge;Fort Worth; Texas;0;9
466166;tkubit;Sylvania; OH;1;1
466168;julieZhang;San Mateo; CA;4;2
466173;surajwaghulde;Santa Clara;2;6
466174;Osamadawood;Cairo; Egypt;0;0
466178;rmevans1;Myrtle Beach; SC;0;9
466180;r-ideas;Ukraine; Lviv;0;9
466192;jtp51;Farmington; CT;2;7
466196;New-Heights-Church;Vancouver; WA;0;3
466199;cmerdctech;Minnesota;0;10
466204;emcardoso;Brasil - MG - Ouro Preto;4;3
466211;arabesq610;Los Angeles; CA;7;17
466213;bourel;Europe; France; Brest;2;3
466217;txetxuvel;Madrid; Spain;0;1
466218;shuo;Taipei; Taiwan;1;3
466229;rhiaro;Edinburgh;31;62
466230;jamesp73;Saratoga Springs; UT;0;4
466245;steffenza;-;1;1
466254;pallazzo;Munich;0;4
466257;fyhring;Viborg; Denmark;5;8
466261;ronsiven;United States;0;0
466265;khale;Chicago; IL;4;10
466266;JasPanesar;Edmonton; Canada;8;12
466275;davehog;Portland; OR;1;2
466278;klocekPL;Cracow; Poland;15;9
466286;markyoung;Eden Prairie; MN; USA;3;4
466287;DustinEwers;Madison; WI;7;9
466297;jnevin;New York City; NY; USA;2;9
466301;nickistre;Louisiana; USA;5;22
466302;beastburn;Brooklyn;1;9
466306;ManoelAdriano;Campo Grande;0;0
466311;ivanych;Russia; Saint-Petersburg;3;12
466316;DoomDesign;Paderborn;0;4
466320;jned;Orlando; FL US;0;0
466323;ramshteks;Krasnoyarsk;4;26
466326;superlinkx;Walla Walla; WA;5;21
466328;DLab;Santiago; Chile;0;2
466329;reyman;France;17;23
466331;timcubb;NEW JERSEY;6;58
466332;tilden;Blacksburg; VA;5;11
466333;lithp;San Francisco; CA;17;11
466337;next-l;Japan;0;32
466338;DrScott;Tucson; AZ;0;1
466344;antom;Leeds; UK;3;4
466348;lyntondicks;Cape Town; South Africa;0;7
466349;rudidude86;Minnesota;8;9
466355;julienescueta;Vancouver;2;7
466361;sbmako;Houston; Texas;6;1
466364;gsmcmullin;Auckland; New Zealand;20;27
466365;artPlusPlus;Laurel; MD;3;11
466366;josiahkatz;Lancaster; PA;1;3
466367;arzafran;Mar del Plata;5;14
466368;cjgeyer;Minneapolis; Minnesota; USA;8;17
466371;djockin;NY;4;16
466377;velyo;Plovdiv; Bulgaria;1;19
466378;straight-shoota;Fulda; Germany;2;17
466380;linsomniac;Fort Collins; CO; USA;33;40
466382;VladimirMikhailov;Kazan;1;16
466386;netfirms;Bangkok; Thailand;4;75
466388;trunda;Prague;4;28
466392;gamugamu;France;1;15
466404;obaratch;Yokohama; Japan;1;5
466406;tpiha;Zagreb; Croatia;5;14
466419;F3553;Kalix; Sweden;0;0
466420;Karijn;Diemen;1;3
466421;samhakimi;Reston; Virginia;0;12
466422;corneil;Johannesburg; South Africa;1;56
466424;dpolishuk;Moscow;34;64
466426;ptepper;San Francisco; CA;0;3
466428;haidark;United States;0;11
466429;frederikhermans;Uppsala; Sweden;1;17
466434;phsyckr;With The Thinker;0;2
466437;sasair;Beijing; China;0;0
466438;kirk4224;Shanghai;0;1
466442;lemming552;Kanab; UT;8;6
466445;bungmaster;Canada;1;0
466453;rubiks;San Francisco;1;1
466460;elahd;New York; NY;1;2
466468;rongtforge;Santa Barbara; CA;0;0
466469;garadox;USA;4;1
466471;bobhall;Seattle; WA;1;6
466479;mattematica;Alameda; Ca;0;6
466480;YogaToday;Jackson; Wyoming;0;0
466481;beevik;Seattle; USA;7;18
466486;gx2g;Hollywood; CA;0;1
466493;jsteiner;Boston; MA;63;41
466498;jbloggs;Calgary; Alberta; Canada;0;0
466499;piratadelfuturo;Mexico;2;5
466500;jhawver;Detroit; MI;5;0
466505;moezb;Tunisia;3;2
466507;fshsweden;Mackmyra; Valbo; Sweden;2;38
466512;wizardconsulting;Agoura Hills; CA;0;0
466513;736;London; UK;0;5
466521;greggiacovelli;SF;3;20
466523;pernillan;Stockholm; Sweden;2;0
466530;fishbein;Hoboken; New Jersey;15;14
466532;lorea;Low Earth Orbit;0;89
466533;asthasr;Charlotte; NC;3;7
466538;Keshoon;Canada; eh?;0;2
466546;ronocod;Dublin; Ireland;6;14
466548;dlandau;Portland; OR;1;11
466556;shiwork;Tokyo;9;22
466560;petergeller;Cologne; Germany;3;0
466561;bhinebaugh;Boston;4;9
466570;pjklimtx;Bellevue; WA;0;0
466575;korhankaya;Istanbul;1;1
466576;mikomize;Wroclaw; Poland;4;11
466582;liorsaar1;San Francisco;6;15
466584;simook;Portland; Oregon;7;33
466585;sensescape;San Francisco; CA;9;3
466588;blackoutjack;Madison; WI;0;10
466591;biglazy;Wuhan. China;7;4
466605;justinrummel;DC Metro Area;30;11
466609;danielgrycman;Bochum / Ennepetal;4;48
466625;jeffehobbs;Hatfield; MA 01088;19;22
466627;marlena23;Mobile Alabama;0;0
466629;saintbump;United States of Oh Shit;0;19
466633;jbsilva;So Carlos / Aachen;28;18
466641;Ravenwater;El Dorado Hills; CA;2;47
466645;afiedler;Washington; DC; USA;8;35
466647;savagejen;Austin; TX;42;10
466648;ghv;Washington D.C.;9;7
466652;damianmarti;Buenos Aires; Argentina;3;6
466659;wangdechang119;nanjing; jiangsu; cn;0;0
466661;russ1985;Flordia USA;15;9
466667;TimothyYang;Cambridge; MA;1;6
466671;amartani;United States;1;8
466674;nwest;Detroit; Michigan;33;57
466682;Sanjit;UK;1;2
466686;Forns;Redondo Beach; CA;9;9
466689;vwong;Melbourne; Australia;0;3
466696;mpellegrini;Southbury; CT;8;12
466699;stevepepple;San Francisco;4;25
466706;midashuang;Taiwan; Kaohsiung;3;3
466713;pcgeek86;Fort Collins; Colorado;72;29
466716;yoshi0309;Tokyo; Japan;0;5
466722;oksushi;Melbourne & Sydney;24;23
466728;WesleyTseng;Taiwan/Taipei;0;4
466730;pdot86;Alexandria; VA;4;7
466734;DEN-TANAKA2;;0;0
466739;tanisawa;Tokyo; Japan;1;0
466747;scottrogowski;San Francisco;3;8
466751;markneves;San Francisco; CA;16;7
466760;pdg137;Las Vegas; NV;20;60
466761;NatalieWolfe;Portland; OR;11;21
466764;DavidEGrayson;Las Vegas; Nevada;43;75
466765;mattab;NZ/FR; Planet Earth;125;11
466767;nesnil;Shanghai;0;0
466775;yusenhan;Shanghai; China;8;20
466779;xeenet;xiamen;fujian;1;4
466783;wbuthod;Oklahoma;0;0
466793;jerry-sjtu;;2;27
466794;LifeWanted;San Francisco; CA;0;16
466800;bzalasky;Boston; MA;15;60
466801;aelesbao;Berlin; Germany;5;18
466804;tub78;New York City;8;17
466805;omercs;Redmond; WA;8;89
466807;joecdr;Phnom Penh and Kuala Lumpur;0;1
466808;lanhle;Ho Chi Minh;1;3
466809;mzw;Tokyo; Japan;4;16
466812;arunpallisseri;Kochin;0;1
466825;shiisa;shanghai;0;1
466829;rondemara;CT;0;3
466830;rabahs;Sunnyvale; CA;5;9
466838;aarossig;Mountain View; CA;229;7
466841;mtholking;San Diego; CA;1;7
466845;yamamoto-takashi;Tokyo;0;0
466846;catalanojuan;Buenos Aires; Argentina;14;21
466851;mikeatmarvel;Detroit;0;0
466859;joephuy;Shenzhen;0;1
466873;andrewpurcell;San Francisco; CA;15;13
466875;tyarrish;Southern Oregon;10;9
466878;geeknik;Oklahoma City; OK; USA;9;14
466879;samgro;New York; NY;9;25
466881;sleighter;Baltimore;5;24
466883;EZWrighter;Vancouver; WA;1;11
466887;zinkem;Spokane; WA;7;15
466894;armano;Cebu;0;0
466898;lin1shu;Mountain View; CA;0;5
466899;rodgerd;Wellington; New Zealand;0;4
466901;theelfismike;New York City;18;26
466914;iorme;Sleman; Yogyakarta;6;10
466920;kharvd;Voronezh; Russia;13;23
466925;dmonakhov;Moscow;36;30
466926;raccoony;Japan;0;1
466929;Jkirsher;Portland; OR;6;3
466932;metalspawn;Sydney; Australia;0;12
466941;pR0Ps;Ottawa; ON; Canada;26;46
466944;mohdovais;New Delhi;3;6
466948;j12n;Vancouver; BC;7;15
466949;daxiniu;China;0;2
466955;elarex;South Africa;0;1
466961;kovalenko;Belarus; Minsk;0;3
466968;mjohnst;Los Altos; CA;2;6
466972;radj;Cebu City;8;15
466973;michael-crawford;Santa Barbara; CA;0;0
466978;sebbarg;Denmark;0;3
466983;ramkrsna;Pune India;19;14
466984;justclint;Southern California;0;11
466985;iyjian;shanghai;2;13
466989;sungeunbae;University of Canterbury; Christchurch; New Zealand;2;18
467005;rgshaw;206 Ecology;0;0
467009;hypebeast;Munich;10;62
467016;magnezi;Sydney; NSW; Australia;3;12
467018;micahb;San Francisco; CA;0;4
467023;theJC;Austin; TX;0;2
467026;filipgorczynski;Poland; Poznan;6;16
467030;walmik;San Francisco Bay Area;30;16
467031;nawijn;Netherlands;0;1
467035;privatebox;New Zealand;1;2
